video,frame_path,audio_path,label,audio_available
Abuse026_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse026_x264,datasets/UCF-Crime_audio\Abuse\Abuse026_x264.wav,Abuse,1
Abuse027_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse027_x264,datasets/UCF-Crime_audio\Abuse\Abuse027_x264.wav,Abuse,1
Abuse028_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse028_x264,datasets/UCF-Crime_audio\Abuse\Abuse028_x264.wav,Abuse,1
Abuse029_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse029_x264,datasets/UCF-Crime_audio\Abuse\Abuse029_x264.wav,Abuse,1
Abuse030_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse030_x264,datasets/UCF-Crime_audio\Abuse\Abuse030_x264.wav,Abuse,1
Abuse031_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse031_x264,datasets/UCF-Crime_audio\Abuse\Abuse031_x264.wav,Abuse,1
Abuse032_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse032_x264,datasets/UCF-Crime_audio\Abuse\Abuse032_x264.wav,Abuse,1
Abuse033_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse033_x264,datasets/UCF-Crime_audio\Abuse\Abuse033_x264.wav,Abuse,1
Abuse034_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse034_x264,datasets/UCF-Crime_audio\Abuse\Abuse034_x264.wav,Abuse,1
Abuse035_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse035_x264,datasets/UCF-Crime_audio\Abuse\Abuse035_x264.wav,Abuse,1
Abuse036_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse036_x264,datasets/UCF-Crime_audio\Abuse\Abuse036_x264.wav,Abuse,1
Abuse037_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse037_x264,datasets/UCF-Crime_audio\Abuse\Abuse037_x264.wav,Abuse,1
Abuse038_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse038_x264,datasets/UCF-Crime_audio\Abuse\Abuse038_x264.wav,Abuse,1
Abuse039_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse039_x264,datasets/UCF-Crime_audio\Abuse\Abuse039_x264.wav,Abuse,1
Abuse040_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse040_x264,datasets/UCF-Crime_audio\Abuse\Abuse040_x264.wav,Abuse,1
Abuse041_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse041_x264,datasets/UCF-Crime_audio\Abuse\Abuse041_x264.wav,Abuse,1
Abuse042_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse042_x264,datasets/UCF-Crime_audio\Abuse\Abuse042_x264.wav,Abuse,1
Abuse043_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse043_x264,datasets/UCF-Crime_audio\Abuse\Abuse043_x264.wav,Abuse,1
Abuse044_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse044_x264,datasets/UCF-Crime_audio\Abuse\Abuse044_x264.wav,Abuse,1
Abuse045_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse045_x264,datasets/UCF-Crime_audio\Abuse\Abuse045_x264.wav,Abuse,1
Abuse046_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse046_x264,datasets/UCF-Crime_audio\Abuse\Abuse046_x264.wav,Abuse,1
Abuse047_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse047_x264,datasets/UCF-Crime_audio\Abuse\Abuse047_x264.wav,Abuse,1
Abuse048_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse048_x264,datasets/UCF-Crime_audio\Abuse\Abuse048_x264.wav,Abuse,1
Abuse049_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse049_x264,datasets/UCF-Crime_audio\Abuse\Abuse049_x264.wav,Abuse,1
Abuse050_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse050_x264,datasets/UCF-Crime_audio\Abuse\Abuse050_x264.wav,Abuse,1
Arrest001_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest001_x264,datasets/UCF-Crime_audio\Arrest\Arrest001_x264.wav,Arrest,1
Arrest002_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest002_x264,datasets/UCF-Crime_audio\Arrest\Arrest002_x264.wav,Arrest,1
Arrest003_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest003_x264,datasets/UCF-Crime_audio\Arrest\Arrest003_x264.wav,Arrest,1
Arrest004_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest004_x264,datasets/UCF-Crime_audio\Arrest\Arrest004_x264.wav,Arrest,1
Arrest005_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest005_x264,,Arrest,0
Arrest006_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest006_x264,datasets/UCF-Crime_audio\Arrest\Arrest006_x264.wav,Arrest,1
Arrest007_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest007_x264,datasets/UCF-Crime_audio\Arrest\Arrest007_x264.wav,Arrest,1
Arrest008_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest008_x264,datasets/UCF-Crime_audio\Arrest\Arrest008_x264.wav,Arrest,1
Arrest009_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest009_x264,datasets/UCF-Crime_audio\Arrest\Arrest009_x264.wav,Arrest,1
Arrest010_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest010_x264,datasets/UCF-Crime_audio\Arrest\Arrest010_x264.wav,Arrest,1
Arrest011_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest011_x264,datasets/UCF-Crime_audio\Arrest\Arrest011_x264.wav,Arrest,1
Arrest012_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest012_x264,datasets/UCF-Crime_audio\Arrest\Arrest012_x264.wav,Arrest,1
Arrest013_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest013_x264,datasets/UCF-Crime_audio\Arrest\Arrest013_x264.wav,Arrest,1
Arrest014_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest014_x264,datasets/UCF-Crime_audio\Arrest\Arrest014_x264.wav,Arrest,1
Arrest015_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest015_x264,datasets/UCF-Crime_audio\Arrest\Arrest015_x264.wav,Arrest,1
Arrest016_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest016_x264,datasets/UCF-Crime_audio\Arrest\Arrest016_x264.wav,Arrest,1
Arrest017_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest017_x264,datasets/UCF-Crime_audio\Arrest\Arrest017_x264.wav,Arrest,1
Arrest018_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest018_x264,datasets/UCF-Crime_audio\Arrest\Arrest018_x264.wav,Arrest,1
Arrest019_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest019_x264,datasets/UCF-Crime_audio\Arrest\Arrest019_x264.wav,Arrest,1
Arrest020_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest020_x264,datasets/UCF-Crime_audio\Arrest\Arrest020_x264.wav,Arrest,1
Arrest021_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest021_x264,datasets/UCF-Crime_audio\Arrest\Arrest021_x264.wav,Arrest,1
Arrest022_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest022_x264,datasets/UCF-Crime_audio\Arrest\Arrest022_x264.wav,Arrest,1
Arrest023_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest023_x264,datasets/UCF-Crime_audio\Arrest\Arrest023_x264.wav,Arrest,1
Arrest024_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest024_x264,datasets/UCF-Crime_audio\Arrest\Arrest024_x264.wav,Arrest,1
Arrest025_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest025_x264,datasets/UCF-Crime_audio\Arrest\Arrest025_x264.wav,Arrest,1
Arrest026_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest026_x264,datasets/UCF-Crime_audio\Arrest\Arrest026_x264.wav,Arrest,1
Arrest027_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest027_x264,datasets/UCF-Crime_audio\Arrest\Arrest027_x264.wav,Arrest,1
Arrest028_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest028_x264,datasets/UCF-Crime_audio\Arrest\Arrest028_x264.wav,Arrest,1
Arrest029_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest029_x264,datasets/UCF-Crime_audio\Arrest\Arrest029_x264.wav,Arrest,1
Arrest030_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest030_x264,datasets/UCF-Crime_audio\Arrest\Arrest030_x264.wav,Arrest,1
Arrest031_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest031_x264,datasets/UCF-Crime_audio\Arrest\Arrest031_x264.wav,Arrest,1
Arrest032_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest032_x264,datasets/UCF-Crime_audio\Arrest\Arrest032_x264.wav,Arrest,1
Arrest033_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest033_x264,datasets/UCF-Crime_audio\Arrest\Arrest033_x264.wav,Arrest,1
Arrest034_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest034_x264,datasets/UCF-Crime_audio\Arrest\Arrest034_x264.wav,Arrest,1
Arrest035_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest035_x264,datasets/UCF-Crime_audio\Arrest\Arrest035_x264.wav,Arrest,1
Arrest036_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest036_x264,datasets/UCF-Crime_audio\Arrest\Arrest036_x264.wav,Arrest,1
Arrest037_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest037_x264,datasets/UCF-Crime_audio\Arrest\Arrest037_x264.wav,Arrest,1
Arrest038_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest038_x264,datasets/UCF-Crime_audio\Arrest\Arrest038_x264.wav,Arrest,1
Arrest039_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest039_x264,datasets/UCF-Crime_audio\Arrest\Arrest039_x264.wav,Arrest,1
Arrest040_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest040_x264,datasets/UCF-Crime_audio\Arrest\Arrest040_x264.wav,Arrest,1
Arrest041_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest041_x264,datasets/UCF-Crime_audio\Arrest\Arrest041_x264.wav,Arrest,1
Arrest042_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest042_x264,datasets/UCF-Crime_audio\Arrest\Arrest042_x264.wav,Arrest,1
Arrest043_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest043_x264,datasets/UCF-Crime_audio\Arrest\Arrest043_x264.wav,Arrest,1
Arrest044_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest044_x264,datasets/UCF-Crime_audio\Arrest\Arrest044_x264.wav,Arrest,1
Arrest046_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest046_x264,datasets/UCF-Crime_audio\Arrest\Arrest046_x264.wav,Arrest,1
Arrest047_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest047_x264,,Arrest,0
Arrest048_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest048_x264,datasets/UCF-Crime_audio\Arrest\Arrest048_x264.wav,Arrest,1
Arrest049_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest049_x264,datasets/UCF-Crime_audio\Arrest\Arrest049_x264.wav,Arrest,1
Arrest050_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest050_x264,,Arrest,0
Arrest051_x264,datasets/UCF-Crime_frames_16\Arrest\Arrest051_x264,,Arrest,0
Arson001_x264,datasets/UCF-Crime_frames_16\Arson\Arson001_x264,datasets/UCF-Crime_audio\Arson\Arson001_x264.wav,Arson,1
Arson002_x264,datasets/UCF-Crime_frames_16\Arson\Arson002_x264,datasets/UCF-Crime_audio\Arson\Arson002_x264.wav,Arson,1
Arson003_x264,datasets/UCF-Crime_frames_16\Arson\Arson003_x264,datasets/UCF-Crime_audio\Arson\Arson003_x264.wav,Arson,1
Arson005_x264,datasets/UCF-Crime_frames_16\Arson\Arson005_x264,datasets/UCF-Crime_audio\Arson\Arson005_x264.wav,Arson,1
Arson006_x264,datasets/UCF-Crime_frames_16\Arson\Arson006_x264,datasets/UCF-Crime_audio\Arson\Arson006_x264.wav,Arson,1
Arson007_x264,datasets/UCF-Crime_frames_16\Arson\Arson007_x264,datasets/UCF-Crime_audio\Arson\Arson007_x264.wav,Arson,1
Arson008_x264,datasets/UCF-Crime_frames_16\Arson\Arson008_x264,datasets/UCF-Crime_audio\Arson\Arson008_x264.wav,Arson,1
Arson009_x264,datasets/UCF-Crime_frames_16\Arson\Arson009_x264,datasets/UCF-Crime_audio\Arson\Arson009_x264.wav,Arson,1
Arson010_x264,datasets/UCF-Crime_frames_16\Arson\Arson010_x264,datasets/UCF-Crime_audio\Arson\Arson010_x264.wav,Arson,1
Arson011_x264,datasets/UCF-Crime_frames_16\Arson\Arson011_x264,datasets/UCF-Crime_audio\Arson\Arson011_x264.wav,Arson,1
Arson012_x264,datasets/UCF-Crime_frames_16\Arson\Arson012_x264,datasets/UCF-Crime_audio\Arson\Arson012_x264.wav,Arson,1
Arson013_x264,datasets/UCF-Crime_frames_16\Arson\Arson013_x264,datasets/UCF-Crime_audio\Arson\Arson013_x264.wav,Arson,1
Arson014_x264,datasets/UCF-Crime_frames_16\Arson\Arson014_x264,datasets/UCF-Crime_audio\Arson\Arson014_x264.wav,Arson,1
Arson015_x264,datasets/UCF-Crime_frames_16\Arson\Arson015_x264,datasets/UCF-Crime_audio\Arson\Arson015_x264.wav,Arson,1
Arson016_x264,datasets/UCF-Crime_frames_16\Arson\Arson016_x264,datasets/UCF-Crime_audio\Arson\Arson016_x264.wav,Arson,1
Arson017_x264,datasets/UCF-Crime_frames_16\Arson\Arson017_x264,datasets/UCF-Crime_audio\Arson\Arson017_x264.wav,Arson,1
Arson018_x264,datasets/UCF-Crime_frames_16\Arson\Arson018_x264,datasets/UCF-Crime_audio\Arson\Arson018_x264.wav,Arson,1
Arson019_x264,datasets/UCF-Crime_frames_16\Arson\Arson019_x264,datasets/UCF-Crime_audio\Arson\Arson019_x264.wav,Arson,1
Arson020_x264,datasets/UCF-Crime_frames_16\Arson\Arson020_x264,datasets/UCF-Crime_audio\Arson\Arson020_x264.wav,Arson,1
Arson021_x264,datasets/UCF-Crime_frames_16\Arson\Arson021_x264,datasets/UCF-Crime_audio\Arson\Arson021_x264.wav,Arson,1
Arson022_x264,datasets/UCF-Crime_frames_16\Arson\Arson022_x264,datasets/UCF-Crime_audio\Arson\Arson022_x264.wav,Arson,1
Arson023_x264,datasets/UCF-Crime_frames_16\Arson\Arson023_x264,datasets/UCF-Crime_audio\Arson\Arson023_x264.wav,Arson,1
Arson024_x264,datasets/UCF-Crime_frames_16\Arson\Arson024_x264,datasets/UCF-Crime_audio\Arson\Arson024_x264.wav,Arson,1
Arson025_x264,datasets/UCF-Crime_frames_16\Arson\Arson025_x264,datasets/UCF-Crime_audio\Arson\Arson025_x264.wav,Arson,1
Arson026_x264,datasets/UCF-Crime_frames_16\Arson\Arson026_x264,datasets/UCF-Crime_audio\Arson\Arson026_x264.wav,Arson,1
Arson027_x264,datasets/UCF-Crime_frames_16\Arson\Arson027_x264,datasets/UCF-Crime_audio\Arson\Arson027_x264.wav,Arson,1
Arson028_x264,datasets/UCF-Crime_frames_16\Arson\Arson028_x264,datasets/UCF-Crime_audio\Arson\Arson028_x264.wav,Arson,1
Arson029_x264,datasets/UCF-Crime_frames_16\Arson\Arson029_x264,datasets/UCF-Crime_audio\Arson\Arson029_x264.wav,Arson,1
Arson030_x264,datasets/UCF-Crime_frames_16\Arson\Arson030_x264,datasets/UCF-Crime_audio\Arson\Arson030_x264.wav,Arson,1
Arson031_x264,datasets/UCF-Crime_frames_16\Arson\Arson031_x264,datasets/UCF-Crime_audio\Arson\Arson031_x264.wav,Arson,1
Arson032_x264,datasets/UCF-Crime_frames_16\Arson\Arson032_x264,datasets/UCF-Crime_audio\Arson\Arson032_x264.wav,Arson,1
Arson034_x264,datasets/UCF-Crime_frames_16\Arson\Arson034_x264,datasets/UCF-Crime_audio\Arson\Arson034_x264.wav,Arson,1
Arson035_x264,datasets/UCF-Crime_frames_16\Arson\Arson035_x264,datasets/UCF-Crime_audio\Arson\Arson035_x264.wav,Arson,1
Arson036_x264,datasets/UCF-Crime_frames_16\Arson\Arson036_x264,datasets/UCF-Crime_audio\Arson\Arson036_x264.wav,Arson,1
Arson037_x264,datasets/UCF-Crime_frames_16\Arson\Arson037_x264,datasets/UCF-Crime_audio\Arson\Arson037_x264.wav,Arson,1
Arson038_x264,datasets/UCF-Crime_frames_16\Arson\Arson038_x264,datasets/UCF-Crime_audio\Arson\Arson038_x264.wav,Arson,1
Arson039_x264,datasets/UCF-Crime_frames_16\Arson\Arson039_x264,datasets/UCF-Crime_audio\Arson\Arson039_x264.wav,Arson,1
Arson040_x264,datasets/UCF-Crime_frames_16\Arson\Arson040_x264,datasets/UCF-Crime_audio\Arson\Arson040_x264.wav,Arson,1
Arson041_x264,datasets/UCF-Crime_frames_16\Arson\Arson041_x264,datasets/UCF-Crime_audio\Arson\Arson041_x264.wav,Arson,1
Arson042_x264,datasets/UCF-Crime_frames_16\Arson\Arson042_x264,datasets/UCF-Crime_audio\Arson\Arson042_x264.wav,Arson,1
Arson044_x264,datasets/UCF-Crime_frames_16\Arson\Arson044_x264,datasets/UCF-Crime_audio\Arson\Arson044_x264.wav,Arson,1
Arson045_x264,datasets/UCF-Crime_frames_16\Arson\Arson045_x264,datasets/UCF-Crime_audio\Arson\Arson045_x264.wav,Arson,1
Arson046_x264,datasets/UCF-Crime_frames_16\Arson\Arson046_x264,datasets/UCF-Crime_audio\Arson\Arson046_x264.wav,Arson,1
Arson047_x264,datasets/UCF-Crime_frames_16\Arson\Arson047_x264,datasets/UCF-Crime_audio\Arson\Arson047_x264.wav,Arson,1
Arson048_x264,datasets/UCF-Crime_frames_16\Arson\Arson048_x264,datasets/UCF-Crime_audio\Arson\Arson048_x264.wav,Arson,1
Arson049_x264,datasets/UCF-Crime_frames_16\Arson\Arson049_x264,datasets/UCF-Crime_audio\Arson\Arson049_x264.wav,Arson,1
Arson050_x264,datasets/UCF-Crime_frames_16\Arson\Arson050_x264,datasets/UCF-Crime_audio\Arson\Arson050_x264.wav,Arson,1
Arson051_x264,datasets/UCF-Crime_frames_16\Arson\Arson051_x264,datasets/UCF-Crime_audio\Arson\Arson051_x264.wav,Arson,1
Arson052_x264,datasets/UCF-Crime_frames_16\Arson\Arson052_x264,datasets/UCF-Crime_audio\Arson\Arson052_x264.wav,Arson,1
Arson053_x264,datasets/UCF-Crime_frames_16\Arson\Arson053_x264,datasets/UCF-Crime_audio\Arson\Arson053_x264.wav,Arson,1
Assault001_x264,datasets/UCF-Crime_frames_16\Assault\Assault001_x264,datasets/UCF-Crime_audio\Assault\Assault001_x264.wav,Assault,1
Assault002_x264,datasets/UCF-Crime_frames_16\Assault\Assault002_x264,datasets/UCF-Crime_audio\Assault\Assault002_x264.wav,Assault,1
Assault003_x264,datasets/UCF-Crime_frames_16\Assault\Assault003_x264,,Assault,0
Assault004_x264,datasets/UCF-Crime_frames_16\Assault\Assault004_x264,,Assault,0
Assault005_x264,datasets/UCF-Crime_frames_16\Assault\Assault005_x264,,Assault,0
Assault006_x264,datasets/UCF-Crime_frames_16\Assault\Assault006_x264,,Assault,0
Assault007_x264,datasets/UCF-Crime_frames_16\Assault\Assault007_x264,,Assault,0
Assault008_x264,datasets/UCF-Crime_frames_16\Assault\Assault008_x264,,Assault,0
Assault009_x264,datasets/UCF-Crime_frames_16\Assault\Assault009_x264,datasets/UCF-Crime_audio\Assault\Assault009_x264.wav,Assault,1
Assault010_x264,datasets/UCF-Crime_frames_16\Assault\Assault010_x264,datasets/UCF-Crime_audio\Assault\Assault010_x264.wav,Assault,1
Assault011_x264,datasets/UCF-Crime_frames_16\Assault\Assault011_x264,datasets/UCF-Crime_audio\Assault\Assault011_x264.wav,Assault,1
Assault012_x264,datasets/UCF-Crime_frames_16\Assault\Assault012_x264,datasets/UCF-Crime_audio\Assault\Assault012_x264.wav,Assault,1
Assault013_x264,datasets/UCF-Crime_frames_16\Assault\Assault013_x264,datasets/UCF-Crime_audio\Assault\Assault013_x264.wav,Assault,1
Assault014_x264,datasets/UCF-Crime_frames_16\Assault\Assault014_x264,datasets/UCF-Crime_audio\Assault\Assault014_x264.wav,Assault,1
Assault015_x264,datasets/UCF-Crime_frames_16\Assault\Assault015_x264,datasets/UCF-Crime_audio\Assault\Assault015_x264.wav,Assault,1
Assault016_x264,datasets/UCF-Crime_frames_16\Assault\Assault016_x264,datasets/UCF-Crime_audio\Assault\Assault016_x264.wav,Assault,1
Assault017_x264,datasets/UCF-Crime_frames_16\Assault\Assault017_x264,,Assault,0
Assault018_x264,datasets/UCF-Crime_frames_16\Assault\Assault018_x264,datasets/UCF-Crime_audio\Assault\Assault018_x264.wav,Assault,1
Assault019_x264,datasets/UCF-Crime_frames_16\Assault\Assault019_x264,datasets/UCF-Crime_audio\Assault\Assault019_x264.wav,Assault,1
Assault020_x264,datasets/UCF-Crime_frames_16\Assault\Assault020_x264,datasets/UCF-Crime_audio\Assault\Assault020_x264.wav,Assault,1
Assault022_x264,datasets/UCF-Crime_frames_16\Assault\Assault022_x264,datasets/UCF-Crime_audio\Assault\Assault022_x264.wav,Assault,1
Assault023_x264,datasets/UCF-Crime_frames_16\Assault\Assault023_x264,datasets/UCF-Crime_audio\Assault\Assault023_x264.wav,Assault,1
Assault024_x264,datasets/UCF-Crime_frames_16\Assault\Assault024_x264,datasets/UCF-Crime_audio\Assault\Assault024_x264.wav,Assault,1
Assault025_x264,datasets/UCF-Crime_frames_16\Assault\Assault025_x264,datasets/UCF-Crime_audio\Assault\Assault025_x264.wav,Assault,1
Assault026_x264,datasets/UCF-Crime_frames_16\Assault\Assault026_x264,datasets/UCF-Crime_audio\Assault\Assault026_x264.wav,Assault,1
Assault027_x264,datasets/UCF-Crime_frames_16\Assault\Assault027_x264,datasets/UCF-Crime_audio\Assault\Assault027_x264.wav,Assault,1
Assault028_x264,datasets/UCF-Crime_frames_16\Assault\Assault028_x264,datasets/UCF-Crime_audio\Assault\Assault028_x264.wav,Assault,1
Assault029_x264,datasets/UCF-Crime_frames_16\Assault\Assault029_x264,datasets/UCF-Crime_audio\Assault\Assault029_x264.wav,Assault,1
Assault030_x264,datasets/UCF-Crime_frames_16\Assault\Assault030_x264,datasets/UCF-Crime_audio\Assault\Assault030_x264.wav,Assault,1
Assault031_x264,datasets/UCF-Crime_frames_16\Assault\Assault031_x264,datasets/UCF-Crime_audio\Assault\Assault031_x264.wav,Assault,1
Assault032_x264,datasets/UCF-Crime_frames_16\Assault\Assault032_x264,datasets/UCF-Crime_audio\Assault\Assault032_x264.wav,Assault,1
Assault033_x264,datasets/UCF-Crime_frames_16\Assault\Assault033_x264,datasets/UCF-Crime_audio\Assault\Assault033_x264.wav,Assault,1
Assault034_x264,datasets/UCF-Crime_frames_16\Assault\Assault034_x264,datasets/UCF-Crime_audio\Assault\Assault034_x264.wav,Assault,1
Assault035_x264,datasets/UCF-Crime_frames_16\Assault\Assault035_x264,datasets/UCF-Crime_audio\Assault\Assault035_x264.wav,Assault,1
Assault036_x264,datasets/UCF-Crime_frames_16\Assault\Assault036_x264,datasets/UCF-Crime_audio\Assault\Assault036_x264.wav,Assault,1
Assault037_x264,datasets/UCF-Crime_frames_16\Assault\Assault037_x264,datasets/UCF-Crime_audio\Assault\Assault037_x264.wav,Assault,1
Assault038_x264,datasets/UCF-Crime_frames_16\Assault\Assault038_x264,datasets/UCF-Crime_audio\Assault\Assault038_x264.wav,Assault,1
